,College_Name,State,,
309,Dhirubhai Ambani Institute of Information and Communication ,Gujarat,,
310,"Institute of Technology, Nirma University, Ahmedabad ",Gujarat,,
311,"Faculty of Technology and Engineering, Maharaja Sayajirao ",Gujarat,,
312,Nirma University ,Gujarat,,
313,Pandit Deendayal Petroleum University [PDPU] / (Energy ,Gujarat,,
314,"Pandit Deendayal Petroleum University, School of Technology ",Gujarat,,
315,Central Institute of plastics engineering & Technology- ,Gujarat,,
316,Sardar Patel University ,Gujarat,,
317,"CEPT University, Ahmedabad ",Gujarat,,
318,Ganpat University ,Gujarat,,
319,"Indus University, Ahmedabad ",Gujarat,,
320,Navrachana University ,Gujarat,,
321,Indian Institute of Information Technology Vadodara ,Gujarat,,
322,"Uka Tarsadia University, Bardoli ",Gujarat,,
323,"GSFC University, Vadodara ",Gujarat,,
324,"Auro University, Surat ",Gujarat,,
325,L.D. College of Engineering ,Gujarat,,
326,RK University ,Gujarat,,
327,Institute of Infrastructure Technology Research and Management ,Gujarat,,
328,Indian Institute of Information Technology ,Gujarat,,
329,"C. U. Shah University, Wadhwan ",Gujarat,,
330,"P.P. Savani University, Surat ",Gujarat,,
331,Vishwakarma Government Engineering College ,Gujarat,,
332,Dharmsinh Desai University ,Gujarat,,
333,Thapar Institute of Engineering and Technology ,Punjab,,
334,Indian Institute of Technology ,Punjab,,
335,Panjab University ,Punjab,,
336,Punjab Engineering College University of Technology ,Punjab,,
337,I.K. Gujral Punjab Technical University ,Punjab,,
338,Dr BR Ambedkar National Institute of Technology ,Punjab,,
339,"University Institute of Engineering, Chandigarh University ",Punjab,,
340,Sant Longowal Institute of Engineering and Technology ,Punjab,,
341,Chitkara University ,Punjab,,
342,Chandigarh Group of Colleges ,Punjab,,
343,"RIMT University, Gobindgarh ",Punjab,,
344,National Institute of Technical Teachers Training and ,Punjab,,
345,"Guru Kashi University, Bathinda ",Punjab,,
346,"University Institute of Engineering and Technology -[UIET], ",Punjab,,
347,"Rayat Bahra University, Mohali ",Punjab,,
348,"DAV University, Jalandhar ",Punjab,,
349,"Plaksha, Mohali ",Punjab,,
350,Chandigarh Engineering College ,Punjab,,
351,Sant Baba Bhag Singh University ,Punjab,,
352,Chandigarh College of Engineering and Technology ,Punjab,,
353,"Global Institute, Amritsar ",Punjab,,
354,"Maharaja Ranjit Singh Punjab Technical University, Bathinda ",Punjab,,
355,Amritsar College of Engineering and Technology ,Punjab,,
356,Guru Nanak Dev Engineering College ,Punjab,,
357,Sri Guru Granth Sahib World University ,Punjab,,
358,Baba Banda Singh Bahadur Engineering College ,Punjab,,
359,Indian Institute of Technology ,West bengal,,
360,Jadavpur University ,West bengal,,
361,Indian Institute of Engineering Science and Technology ,West bengal,,
362,National Institute of Technology ,West bengal,,
363,Institute of Engineering and Management ,West bengal,,
364,Heritage Institute of Technology ,West bengal,,
365,Maulana Abul Kalam Azad University of Technology ,West bengal,,
366,Narula Institute of Technology ,West bengal,,
367,Haldia Institute of Technology ,West bengal,,
368,"Amity University, Kolkata ",West bengal,,
369,"Techno India University, Kolkata ",West bengal,,
370,"Adamas University, Kolkata ",West bengal,,
371,Sister Nivedita University ,West bengal,,
372,Asansol Engineering College ,West bengal,,
373,University of Engineering and Management ,West bengal,,
374,JIS College of Engineering ,West bengal,,
375,Kalyani Government Engineering College ,West bengal,,
376,Indian Institute of Information Technology ,West bengal,,
377,The Neotia University ,West bengal,,
378,Bengal Institute of Technology ,West bengal,,
379,Siliguri Institute of Technology ,West bengal,,
380,"University Institute of Technology, University Of Burdwan ",West bengal,,
381,Jalpaiguri Government Engineering College ,West bengal,,
382,"Techno India Salt Lake, Kolkata ",West bengal,,
383,Bengal College of Engineering and Technology ,West bengal,,
384,Dr. B.C. Roy Engineering College ,West bengal,,
385,Bengal College of Engineering ,West bengal,,
386,Seacom Skills University ,West bengal,,
387,National Institute of Technology ,Orissa,,
388,Indian Institute of Technology ,Orissa,,
